name,iata,icao,country,lat,lon
Venice Giovanni Nicelli Airport,QIZ,LIPV,Italy,45.428623,12.388437
Venice Marco Polo Airport,VCE,LIPZ,Italy,45.505268,12.35194
Venice Municipal Airport,VNC,KVNC,United States,27.077822,-82.438751
Venice Treviso Airport,TSF,LIPH,Italy,45.648399,12.19442
Ventspils International Airport,VNT,EVVA,Latvia,57.357834,21.544292
Veracruz International Airport,VER,MMVR,Mexico,19.145929,-96.187202
Vermilion Airport,YVG,CYVG,Canada,53.357471,-110.826691
Vernal Airport,VEL,KVEL,United States,40.438889,-109.510277
Vernon Regional Airport,YVE,CYVK,Canada,50.246315,-119.330231
Vero Beach Regional Airport,VRB,KVRB,United States,27.65555,-80.4179
Verona Airport,VRN,LIPX,Italy,45.395699,10.88853
Verona Boscomantico Airport,QIO,LIPN,Italy,45.472023,10.927932
Vestmannaeyjar Airport,VEY,BIVM,Iceland,63.424999,-20.2791
Vichy Charmeil Airport,VHY,LFLV,France,46.17178,3.404033
Vicksburg Municipal Airport,VKS,KVKS,United States,32.238865,-90.928207
Victoria Falls Airport,VFA,FVFA,Zimbabwe,-18.0958,25.839001
Victoria Inner Harbour Airport,YWH,CYWH,Canada,48.424988,-123.38887
Victoria International Airport,YYJ,CYYJ,Canada,48.646938,-123.425003
Victoria Regional Airport,VCT,KVCT,United States,28.85111,-96.914444
Victoria River Downs Airport,VCD,YVRD,Australia,-16.402206,131.00502
Victoria Seychelles International Airport,SEZ,FSIA,Seychelles,-4.67434,55.521832
Victorville Southern California Logistics Airport,VCV,KVCV,United States,34.594856,-117.386482
Vidalia Municipal Airport,VDI,KVDI,United States,32.192047,-82.368858
Videira Airport,VIA,SSVI,Brazil,-26.999643,-51.141472
Vidyanagar Jindal Airport,VDY,VOJV,India,15.174076,76.635162
Viedma Gobernador Edgardo Castello Airport,VDM,SAVV,Argentina,-40.869202,-63.000301
Vienna International Airport,VIE,LOWW,Austria,48.110271,16.569719
Vienna Voslau Airport,QOV,LOAV,Austria,47.964615,16.260967
Vientiane Wattay International Airport,VTE,VLVT,Laos,17.988319,102.563202
Vieques Antonio Rivera Rodriguez Airport,VQS,TJVQ,Puerto Rico,18.134809,-65.493599
Vieux Fort Hewanorra International Airport,UVF,TLPL,Saint Lucia,13.73319,-60.952499
Vigo-Peinador Airport,VGO,LEVX,Spain,42.2318,-8.62677
Vijayawada Airport,VGA,VOBZ,India,16.53043,80.796837
Vila Bela da Santíssima Trindade Airport,MTG,SWVB,Brazil,-14.996632,-59.945522
Vila Real Airport,VRL,LPVR,Portugal,41.27433,-7.72047
Vila Rica Airport,VLP,SWVC,Brazil,-9.980289,-51.138897
Vilankulo Airport,VNX,FQVL,Mozambique,-22.0184,35.31329
Vilar Da Luz Maia Airport,QRV,LPVL,Portugal,41.276447,-8.515509
Vilhelmina Airport,VHM,ESNV,Sweden,64.579079,16.83357
Vilhena Airport,BVH,SBVH,Brazil,-12.6943,-60.098202
Villa Garzon Airport,VGZ,SKVG,Colombia,0.982159,-76.604057
Villa Gesell Airport,VLG,SAZV,Argentina,-37.235401,-57.029202
Villahermosa International Airport,VSA,MMVA,Mexico,17.997,-92.817299
Villavicencio Vanguardia Airport,VVC,SKVV,Colombia,4.167875,-73.613701
Villefranche Tarare Airport,QFV,LFHV,France,45.91861,4.635
Villeneuve-sur-Lot Airport,QFW,LFCW,France,44.399044,0.760031
Vilnius International Airport,VNO,EYVI,Lithuania,54.63707,25.2878
Vilshofen Airport,QCV,EDMV,Germany,48.634918,13.195756
Vina del Mar Airport,KNA,SCVM,Chile,-32.949581,-71.478516
Vinh Airport,VII,VVVH,Vietnam,18.73,105.669998
Vinnytsia Havryshivka International Airport,VIN,UKWW,Ukraine,49.243427,28.6112
Vipingo Airport,VPG,HKVG,Kenya,-3.809081,39.797298
Virac Airport,VRC,RPUV,Philippines,13.583333,124.199997
Virgin Gorda Airport,VIJ,TUPW,Virgin Islands British,18.446381,-64.427498
